Category,Sub-Category,Suscriptores,Title,Description,Link,Date_raw,Date_parsed,Author
judicial,Judicial,Judicial,,"Los primeros 27 uniformados fueron liberados en la noche del domingo, tras ser retenidos por un grupo de civiles.",https://www.elespectador.com/judicial/liberan-a-los-45-soldados-que-seguian-retenidos-en-cauca/,08-09-2025,09-09-2025,Redacción Judicial
judicial,Judicial,Judicial,,El hecho ocurrió en un establecimiento comercial del barrio Nueva Ilusión. Es el acto de este tipo que se registra en 2025.,https://www.elespectador.com/judicial/masacre-en-cucuta-tres-hombres-fueron-asesinados-y-dos-mujeres-quedaron-heridas/,08-09-2025,09-09-2025,Redacción Judicial
economia,Economía,Economía,,"En el octavo mes del año, la tasa promedio a la que prestaron los bancos se ubicó en 16,7 %.",https://www.elespectador.com/economia/agosto-dejo-mas-creditos-para-consumo-y-vivienda-estas-son-las-cifras-noticias-colombia/,08-09-2025,09-09-2025,Redacción Economía
economia,Economía,Economía,Suscriptores,Los apartamentos se hacen más compactos y los amenities más grandes. ¿Son un valor agregado o un espejismo de exclusividad?,https://www.elespectador.com/economia/zonas-comunes-o-elefantes-blancos-el-debate-en-la-vivienda-en-colombia-noticias-colombia/,08-09-2025,09-09-2025,Daniel Felipe Rodríguez Rincón 
economia,Empresas,Empresas,,"Informe señala que la informalidad persiste en sectores como agricultura (84,6 %), alojamiento (78,4 %) y construcción (66,5 %).",https://www.elespectador.com/economia/empresas/lo-que-hay-detras-de-la-caida-del-desempleo-segun-anif-noticias-hoy-noticias-colombia/,08-09-2025,09-09-2025,Redacción Economía
economia,Economía,Economía,,Los bonos en euros se suman a la estrategia de recompras y diversificación de la deuda pública.,https://www.elespectador.com/economia/colombia-busca-inversionistas-en-europa-con-nuevos-bonos-en-euros-noticias-hoy/,08-09-2025,09-09-2025,"Redacción Economía, con información de agencias"
economia,Finanzas personales,Finanzas personales,,"Bancolombia anunció hace varios días sobre pausa en el funcionamiento del sistema Bre-B en su aplicación, esta es la fecha de...",https://www.elespectador.com/economia/finanzas-personales/cuando-acaba-el-mantenimiento-de-bre-b-en-bancolombia-noticias-hoy-noticias-colombia/,08-09-2025,09-09-2025,Redacción Economía
economia,Emprendimiento y Liderazgo,Emprendimiento y Liderazgo,,Es el primer unicornio colombiano que superó la valoración de los US$ 1000 millones. ,https://www.elespectador.com/economia/emprendimiento-y-liderazgo/amazon-adquiere-participacion-en-rappi-para-competir-con-mercadolibre-en-la-region/,08-09-2025,09-09-2025,Agencia Bloomberg
mundo,América,América,,"Durante una reunión virtual de los BRICS, Lula da Silva expresó su inconformismo frente al despliegue militar estadounidense en...",https://www.elespectador.com/mundo/america/brasil-rechaza-la-accion-de-estados-unidos-en-el-caribe-es-incompatible-con-la-vocacion-pacifica-de-la-region/,08-09-2025,09-09-2025,Agencia AFP
mundo,América,América,,Ortega y Murillo autorizaron a su hijo para suscribir acuerdos de cooperación de Nicaragua con Jersón y Lugansk. ,https://www.elespectador.com/mundo/america/nicaragua-firmara-acuerdos-con-regiones-ucranianas-ocupadas-por-rusia/,08-09-2025,09-09-2025,Agencia EFE
mundo,Venezuela,Venezuela,,"El ministro de Defensa de Venezuela reforzará la presencia militar en las aguas del Caribe y el Atlántico, siguiendo órdenes de...",https://www.elespectador.com/mundo/venezuela/venezuela-amplia-sus-militares-en-el-caribe-y-se-esta-preparando-en-caso-de-agresion/,08-09-2025,09-09-2025,Redacción Mundo
mundo,Más países,Más países,,La protesta tuvo lugar después de que el Ministerio de Comunicación y Tecnologías de la Información anunciara el bloqueo de 26...,https://www.elespectador.com/mundo/mas-paises/al-menos-17-muertos-en-nepal-en-protesta-contra-bloqueo-de-las-redes-sociales/,08-09-2025,09-09-2025,Unidad de Video
mundo,América,América,Suscriptores,"El domingo en Argentina Axel Kicillof triunfó como gobernador en la provincia de Buenos Aires, representando un desafío directo...",https://www.elespectador.com/mundo/america/se-le-aparecio-la-virgen-al-kirchnerismo-kicillof-triunfo-en-elecciones-argentinas/,08-09-2025,09-09-2025,Juliana Valentina Vélez
mundo,América,América,,La llegada del funcionario del gobierno de Trump coincidió con las maniobras de las Fuerzas Armadas estadounidenses en la isla.  ,https://www.elespectador.com/mundo/america/el-secretario-de-guerra-de-estados-unidos-visito-puerto-rico-en-medio-de-las-tensiones-con-venezuela/,08-09-2025,09-09-2025,Agencia EFE
bogota,Economía,Economía,," Avianca sumó 400 asientos y Clic Air, 10 vuelos adicionales para conectar con la capital del departamento del Meta.",https://www.elespectador.com/economia/con-la-via-al-llano-cerrada-aerolineas-ponen-mas-vuelos-a-villavicencio-noticias-hoy/,08-09-2025,09-09-2025,Redacción Economía
bogota,Bogotá,Bogotá,,La cadena de restaurantes informó que los demás aspectos del establecimiento pasaron los controles.,https://www.elespectador.com/bogota/andres-carne-de-res-debera-desactivar-maquina-que-ocasiono-grave-accidente-en-una-de-sus-sedes/,08-09-2025,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,,"Según el Distrito, estos empleos ofrecen mayor formalidad y salarios. ",https://www.elespectador.com/bogota/en-bogota-mas-de-307-mil-personas-trabajan-en-empleos-digitales-conozca-mas/,08-09-2025,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,,"La mayoría de los casos se han presentado en las localidades de Suba, Kennedy y Engativá.  ",https://www.elespectador.com/bogota/segun-estudio-las-mujeres-registran-mas-casos-de-conducta-suicida-en-bogota/,08-09-2025,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,Suscriptores,Esta semana más de 1.600 indígenas emberas regresan a sus cabildos. Hablamos con varios líderes sobre sus impresiones de este...,https://www.elespectador.com/bogota/con-esperanza-y-dudas-comunidad-embera-emprende-el-retorno-a-sus-territorios/,08-09-2025,09-09-2025,Camilo Tovar Puentes
bogota,Bogotá,Bogotá,,Cerca del 3 % de los escombros en el punto del deslizamiento han sido removidos. ,https://www.elespectador.com/bogota/trabajan-en-remocion-de-escombros-para-habilitar-paso-alterno-en-la-via-al-llano/,08-09-2025,09-09-2025,Redacción Bogotá
